angle_deg,F11,F22_over_F11_pct,F33_over_F11_pct,F44_over_F11_pct,F12_over_F11_pct,F34_over_F11_pct
0,25.4129,100,100,100,0,0
1,25.348,100,100,100,0.0132949,0.0150702
2,25.1542,100,100,100,0.0533111,0.0603477
3,24.8342,100,99.9998,99.9998,0.12064,0.135821
4,24.3921,100,99.9995,99.9995,0.216053,0.241553
5,23.834,100,99.9987,99.9987,0.340858,0.37757
6,23.1671,100,99.9973,99.9973,0.496609,0.544003
7,22.4003,100,99.9949,99.9949,0.685481,0.740882
8,21.5435,100,99.9912,99.9912,0.909926,0.968134
9,20.6076,100,99.9856,99.9856,1.17297,1.22567
10,19.6042,100,99.9776,99.9776,1.4783,1.51324
11,18.5459,100,99.9665,99.9665,1.83017,1.83049
12,17.4451,100,99.9513,99.9513,2.23364,2.1766
13,16.3148,100,99.9312,99.9312,2.69455,2.55057
14,15.1677,100,99.9046,99.9046,3.21973,2.95068
15,14.0163,100,99.8702,99.8702,3.81712,3.3745
16,12.8726,100,99.8258,99.8258,4.49598,3.81873
17,11.7479,100,99.7696,99.7696,5.26674,4.27839
18,10.6526,100,99.6983,99.6983,6.14167,4.7469
19,9.59638,100,99.6087,99.6087,7.13436,5.21488
20,8.58749,100,99.4968,99.4968,8.2605,5.66988
21,7.63318,100,99.3574,99.3574,9.53692,6.09471
22,6.7394,100,99.1846,99.1846,10.9818,6.46586
23,5.91081,100,98.9712,98.9712,12.6137,6.7522
24,5.15075,100,98.7087,98.7087,14.4497,6.912
25,4.46127,100,98.3879,98.3879,16.5029,6.89064
26,3.84321,100,97.998,97.998,18.7773,6.61738
27,3.29618,100,97.5293,97.5293,21.2601,6.00362
28,2.81873,100,96.9731,96.9731,23.9118,4.94336
29,2.4084,100,96.3262,96.3262,26.6509,3.31756
30,2.06186,100,95.5943,95.5943,29.339,1.01074
31,1.77505,100,94.7973,94.7973,31.7681,-2.06417
32,1.54329,100,93.9772,93.9772,33.6625,-5.92112
33,1.36142,100,93.1983,93.1983,34.7108,-10.4545
34,1.22398,100,92.5391,92.5391,34.6321,-15.4038
35,1.12532,100,92.0787,92.0787,33.2643,-20.3684
36,1.05971,100,91.8789,91.8789,30.6433,-24.8842
37,1.02151,100,91.957,91.957,27.01,-28.5391
38,1.00527,100,92.2876,92.2876,22.7451,-31.0772
39,1.00581,100,92.8147,92.8147,18.2609,-32.4326
40,1.01831,100,93.4725,93.4725,13.9083,-32.7012
41,1.0384,100,94.1968,94.1968,9.92874,-32.0686
42,1.0622,100,94.936,94.936,6.45453,-30.7475
43,1.08635,100,95.657,95.657,3.53385,-28.9345
44,1.10806,100,96.3377,96.3377,1.15968,-26.7883
45,1.12507,100,96.9673,96.9673,-0.700401,-24.4305
46,1.13568,100,97.5398,97.5398,-2.09214,-21.9454
47,1.13871,100,98.0539,98.0539,-3.0596,-19.3921
48,1.13348,100,98.5099,98.5099,-3.64188,-16.8093
49,1.11974,100,98.9078,98.9078,-3.86876,-14.2229
50,1.09766,100,99.2475,99.2475,-3.76255,-11.6502
51,1.06773,100,99.5289,99.5289,-3.33605,-9.10436
52,1.03073,100,99.7487,99.7487,-2.59525,-6.60018
53,0.98766,100,99.9018,99.9018,-1.53798,-4.15021
54,0.93966,100,99.984,99.984,-0.157504,-1.77511
55,0.88798,100,99.9865,99.9865,1.55634,0.500011
56,0.83392,100,99.8993,99.8993,3.61545,2.64174
57,0.77873,100,99.7124,99.7124,6.0329,4.60237
58,0.72364,100,99.4099,99.4099,8.81516,6.32635
59,0.66977,100,98.9802,98.9802,11.9593,7.73997
60,0.6181,100,98.4096,98.4096,15.4473,8.76234
61,0.56946,100,97.6908,97.6908,19.2393,9.29477
62,0.52453,100,96.8162,96.8162,23.2646,9.24065
63,0.48377,100,95.7914,95.7914,27.418,8.50611
64,0.44751,100,94.6303,94.6303,31.5568,7.0166
65,0.41587,100,93.3657,93.3657,35.5039,4.73465
66,0.38882,100,92.0374,92.0374,39.0695,1.67944
67,0.36618,100,90.7013,90.7013,42.0586,-2.07275
68,0.34763,100,89.4227,89.4227,44.3086,-6.37459
69,0.33278,100,88.2565,88.2565,45.7059,-11.0313
70,0.32111,100,87.2598,87.2598,46.2116,-15.8201
71,0.3121,100,86.4627,86.4627,45.8571,-20.5191
72,0.30516,100,85.8894,85.8894,44.7306,-24.9345
73,0.29971,100,85.5394,85.5394,42.9749,-28.918
74,0.29521,100,85.3934,85.3934,40.7405,-32.3736
75,0.29112,100,85.4356,85.4356,38.1801,-35.2604
76,0.287,100,85.6307,85.6307,35.4355,-37.5784
77,0.28246,100,85.952,85.952,32.6241,-39.3507
78,0.27719,100,86.3704,86.3704,29.8351,-40.622
79,0.27098,100,86.8625,86.8625,27.1385,-41.4459
80,0.26369,100,87.4133,87.4133,24.5857,-41.8825
81,0.25529,100,88.0019,88.0019,22.2061,-41.9797
82,0.24583,100,88.6141,88.6141,20.0179,-41.789
83,0.23542,100,89.2448,89.2448,18.0401,-41.3516
84,0.22426,100,89.8823,89.8823,16.2713,-40.7072
85,0.21259,100,90.517,90.517,14.7185,-39.8796
86,0.20068,100,91.1451,91.1451,13.3845,-38.9027
87,0.18883,100,91.7651,91.7651,12.2703,-37.7959
88,0.17735,100,92.371,92.371,11.3786,-36.583
89,0.16655,100,92.9571,92.9571,10.7115,-35.2747
90,0.1567,100,93.5099,93.5099,10.2808,-33.9056
91,0.14805,100,94.029,94.029,10.0777,-32.4958
92,0.1408,100,94.5099,94.5099,10.0994,-31.0582
93,0.1351,100,94.9445,94.9445,10.3405,-29.6373
94,0.13104,100,95.3144,95.3144,10.7906,-28.2433
95,0.12864,100,95.639,95.639,11.4195,-26.889
96,0.12788,100,95.8946,95.8946,12.2146,-25.5943
97,0.12865,100,96.0979,96.0979,13.1442,-24.3529
98,0.1308,100,96.2385,96.2385,14.2049,-23.1498
99,0.13411,100,96.3388,96.3388,15.3754,-21.9745
100,0.13835,100,96.3787,96.3787,16.6679,-20.8095
101,0.14323,100,96.3695,96.3695,18.0898,-19.6328
102,0.14845,100,96.295,96.295,19.6497,-18.4439
103,0.15369,100,96.1611,96.1611,21.3807,-17.2165
104,0.15866,100,95.9284,95.9284,23.3014,-15.9524
105,0.16305,100,95.5903,95.5903,25.4462,-14.6519
106,0.16661,100,95.1203,95.1203,27.8375,-13.3245
107,0.16912,100,94.4773,94.4773,30.505,-11.9678
108,0.17038,100,93.626,93.626,33.4898,-10.5998
109,0.17028,100,92.5182,92.5182,36.8158,-9.2436
